namesecond,provincena,municipali,barangayna,latitude,longitude,lat.,long.,Long,Lat
ILIGAN BAY,LANAO DEL NORTE,ILIGAN CITY,SUAREZ,8.2123500000000007048583938740194,124.2148899999999969168129609897733,"8°12'44.45"" N","124°12'53.59"" E",124.21488700,8.21234965
PORT BATAN,AKLAN,AKLAN,POBLACION,11.5868199999999994531663105590269,122.4939300000000059753801906481385,"11°35'12.54"" N","122°29'38.14"" E",122.49392791,11.58681726
PENASCOSA PORT,PALAWAN,PUERTO PRINCESA CITY (CAPITAL),BAGONG BAYAN,9.7672600000000002751221472863108,118.5159699999999958208718453533947,"9°46'2.129"" N","118°30'57.49"" E",118.51596990,9.76725824
LAOANG,NORTHERN SAMAR,LAOANG,ONAY (DOÑA LUISA),12.5843199999999999505462255910970,125.0064399999999977808329276740551,"12°35'3.540"" N","125°0'23.18"" E",125.00644007,12.58431674
ILOILO PORT,ILOILO,ILOILO CITY (CAPITAL),MANSAYA-LAPUZ,10.6996699999999993480059856665321,122.5833700000000021645973902195692,"10°41'58.81"" N","122°35'0.121"" E",122.58336696,10.69967085
ORMOC PORT,LEYTE,ORMOC CITY,BARANGAY 2 (POB.),11.0013000000000005229594535194337,124.6063000000000045019987737759948,"11°0'4.667"" N","124°36'22.66"" E",124.60629558,11.00129640
BALABAC PORT,PALAWAN,BALABAC,POBLACION IV,7.9883300000000003748823473870289,117.0649400000000071031536208465695,"7°59'17.99"" N","117°3'53.76"" E",117.06493574,7.98833112
OZAMIZ PORT,MISAMIS OCCIDENTAL,OZAMIS CITY,BAYBAY TRIUNFO,8.1386199999999995213784131919965,123.8469699999999988904164638370275,"8°8'19.03"" N","123°50'49.10"" E",123.84697402,8.13861993
JAGNA BOHOL,BOHOL,JAGNA,COGON,9.7440599999999992775201462791301,124.4790399999999976898834574967623,"9°44'38.60"" N","124°28'44.52"" E",124.47903544,9.74405570
SOLVEC,ILOCOS SUR,NARVACAN,SULVEC,17.4406700000000007833023119019344,120.4473200000000048248693929053843,"17°26'26.40"" N","120°26'50.35"" E",120.44732021,17.44066683
MANILA NORTH HARBOR,"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",TONDO I / II,BARANGAY 20,14.6004299999999975767650539637543,120.9506300000000038608050090260804,"14°36'1.563"" N","120°57'2.261"" E",120.95062828,14.60043428
SAN NARCISO,QUEZON,SAN NARCISO,PAGDADAMAYAN (POB.),13.5746699999999993480059856665321,122.5743700000000018235368770547211,"13°34'28.81"" N","122°34'27.74"" E",122.57437270,13.57467116
CATANUAN,QUEZON,CATANAUAN,SAN ANTONIO PALA,13.5694800000000004303046807763167,122.3319299999999998362909536808729,"13°34'10.11"" N","122°19'54.94"" E",122.33192802,13.56947553
NAVOTAS PORT,"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF NAVOTAS,TANZA,14.6832700000000002660272002685815,120.9328000000000002955857780762017,"14°40'59.78"" N","120°55'58.09"" E",120.93280435,14.68327469
PALANAN,ISABELA,PALANAN,MALIGAYA,17.1160800000000001830358087318018,122.4669600000000002637534635141492,"17°6'57.88"" N","122°28'1.040"" E",122.46695577,17.11607973
PAGASA I.,PALAWAN,KALAYAAN,PAG-ASA (POB.),11.0517699999999994275867720716633,114.2891500000000064574123825877905,"11°3'6.378"" N","114°17'20.95"" E",114.28915371,11.05177171
LAWAK I.,PALAWAN,,,10.7328899999999993752908267197199,115.8018399999999985539034241810441,"10°43'58.40"" N","115°48'6.638"" E",115.80184415,10.73289016
MATNOG PORT,SORSOGON,MATNOG,CALOOCAN (POB.),12.5837099999999999511146597797051,124.0865299999999962210495141334832,"12°35'1.342"" N","124°5'11.50"" E",124.08652823,12.58370623
PUERTO AZUL,CAVITE,TERNATE,SAPANG I,14.2810600000000000875388650456443,120.6819200000000051886672736145556,"14°16'51.81"" N","120°40'54.90"" E",120.68191888,14.28106002
TUBBATAHA REEF,PALAWAN,,,8.7360500000000005371703082346357,119.8130299999999976989784045144916,"8°44'9.774"" N","119°48'46.89"" E",119.81302606,8.73604841
DALAHICAN,QUEZON,LUCENA CITY,TALAO-TALAO,13.9080600000000007554490366601385,121.6359900000000067166183725930750,"13°54'29.01"" N","121°38'9.550"" E",121.63598633,13.90806007
POLLOC PORT,SHARIFF KABUNSUAN,PARANG,POLLOC,7.3541199999999999903366187936626,124.2223999999999932697392068803310,"7°21'14.82"" N","124°13'20.64"" E",124.22240196,7.35411852
ABRA DE ILOG,OCCIDENTAL MINDORO,ABRA DE ILOG,LUMANGBAYAN,13.4679699999999993309529600082897,120.7708800000000053387338994070888,"13°28'4.682"" N","120°46'15.18"" E",120.77088422,13.46796747
